frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
7,7,0.492487370967865,-0.2694728374481201,-0.3509073555469513,-1.177492380142212,-0.12312184473237138,0.4457856638005121,-0.16929253929950397,152,488,,,,,-1,-1,-1,-1,,,,,,,,,
7,8,0.5628427267074585,-0.3352188467979431,-0.31782370805740356,-1.177492380142212,-0.17588834955360494,0.5048945536634798,-0.17588835430394792,200,478,,,,,-1,-1,-1,-1,,,,,,,,,
7,9,0.492487370967865,-0.32863208651542664,-0.252680242061615,-1.0303058624267578,-0.15390230841210104,0.45133014900847235,-0.12312183650456224,174,498,,,,,-1,-1,-1,-1,,,,,,,,,
7,10,0.5628427267074585,-0.2974470555782318,-0.2850964367389679,-1.0303058624267578,-0.15829951772923714,0.5164053265106316,-0.15829951498859912,180,488,,,,,-1,-1,-1,-1,,,,,,,,,
7,11,0.8442640900611877,0.1920640766620636,-0.18861638009548187,-0.294373095035553,0.15829951239299633,0.8140420030273585,-0.15829951184444954,249,467,,,,,-1,-1,-1,-1,,,,,,,,,
7,12,0.9146194458007812,0.2558923363685608,-0.15689286589622498,-0.294373095035553,0.2286548529420222,0.8739694648403199,-0.14290928377721052,176,492,,,,,-1,-1,-1,-1,,,,,,,,,
8,0,0.42213204503059387,-0.3851892948150635,0.06254076212644577,-1.0303058624267578,-0.15829951414667173,0.39043648808254927,0.026383252953424127,205,492,,,,,-1,-1,-1,0,-0.04638763144612312,0.5666696429252625,-0.3486914038658142,-0.555134654045105,0.9911965131759644,0.5834619402885437,-0.004557625390589237,0.16228514909744263,0.0
8,1,0.35177671909332275,-0.3509073555469513,0.0,-0.8831192851066589,-0.12092325113783026,0.33033986654704534,0.0,161,544,,,,,-1,-1,-1,-1,,,,,,,,,
8,2,0.42213204503059387,-0.3845944404602051,0.0312550887465477,-0.8831192851066589,-0.1582995144540393,0.39110447217503064,0.01319162651144392,225,536,,,,,-1,-1,-1,-1,,,,,,,,,
8,3,0.492487370967865,-0.35108622908592224,0.0312550887465477,-0.8831192851066589,-0.1692925383035556,0.4622196316079972,0.015390230464356615,221,526,,,,,-1,-1,-1,-1,,,,,,,,,
